YEAR, Interest_rate
1975, 0.0905
1976, 0.0887
1977, 0.0885
1978, 0.0964 
1979, 0.1120
1980, 0.1374
1981, 0.1663
1982, 0.1604
1983, 0.1324
1984, 0.1388
1985, 0.1243
1986, 0.1019
1987, 0.1021
1988, 0.1034
1989, 0.1032
1990, 0.1013
1991, 0.0925
1992, 0.0839
1993, 0.0731
1994, 0.0838
1995, 0.0793
1996, 0.0781
1997, 0.0760
1998, 0.0694
1999, 0.0744
2000, 0.0805
2001, 0.0697 
2002, 0.0654
2003, 0.0583
2004, 0.0584
2005, 0.0587
2006, 0.0641
2007, 0.0634
2008, 0.0603
2009, 0.0504
2010, 0.0469
2011, 0.0445
2012, 0.0366
2013, 0.0398
2014, 0.0417
2015, 0.0385
2016, 0.0365
2017, 0.0399
2018, 0.0454
2019, 0.0394
2020, 0.0310
2021, 0.0296
2022, 0.0534
